2019-03-07 17:19:46 [root] WARNING: {'intro': '25666-腾讯云华东区域销售（上海/安徽）（上海）', 'category': '市场类', 'nums': '1', 'location': '上海', 'date': '2019-03-07'}
2019-03-07 17:19:46 [root] WARNING: {'intro': '25666-腾讯云华东区域销售（上海/安徽）（合肥）', 'category': '市场类', 'nums': '1', 'location': '合肥', 'date': '2019-03-07'}
2019-03-07 17:19:46 [root] WARNING: {'intro': '31109-HRBP(深圳）', 'category': '职能类', 'nums': '2', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:19:46 [root] WARNING: {'intro': '29300-Web前端开发工程师', 'category': '技术类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:19:46 [root] WARNING: {'intro': 'RP-视觉设计师', 'category': '设计类', 'nums': '2', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:19:46 [root] WARNING: {'intro': '31967-企鹅电竞Android开发工程师', 'category': '技术类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:19:46 [root] WARNING: {'intro': '31967-企鹅电竞iOS开发工程师', 'category': '技术类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:19:46 [root] WARNING: {'intro': '31967-企鹅电竞交互设计师', 'category': '设计类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:19:46 [root] WARNING: {'intro': '31967-企鹅电竞视觉设计师', 'category': '设计类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:19:46 [root] WARNING: {'intro': 'PCG09-信息流产品垂类高级产品运营经理（ACG品类）', 'category': '产品/项目类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:20:29 [tercent.spiders.offer] WARNING: {'intro': '25666-腾讯云华东区域销售（上海/安徽）（上海）', 'category': '市场类', 'nums': '1', 'location': '上海', 'date': '2019-03-07'}
2019-03-07 17:20:29 [tercent.spiders.offer] WARNING: {'intro': '25666-腾讯云华东区域销售（上海/安徽）（合肥）', 'category': '市场类', 'nums': '1', 'location': '合肥', 'date': '2019-03-07'}
2019-03-07 17:20:29 [tercent.spiders.offer] WARNING: {'intro': '31109-HRBP(深圳）', 'category': '职能类', 'nums': '2', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:20:29 [tercent.spiders.offer] WARNING: {'intro': '29300-Web前端开发工程师', 'category': '技术类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:20:29 [tercent.spiders.offer] WARNING: {'intro': 'RP-视觉设计师', 'category': '设计类', 'nums': '2', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:20:29 [tercent.spiders.offer] WARNING: {'intro': '31967-企鹅电竞Android开发工程师', 'category': '技术类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:20:29 [tercent.spiders.offer] WARNING: {'intro': '31967-企鹅电竞iOS开发工程师', 'category': '技术类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:20:29 [tercent.spiders.offer] WARNING: {'intro': '31967-企鹅电竞交互设计师', 'category': '设计类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:20:29 [tercent.spiders.offer] WARNING: {'intro': '31967-企鹅电竞视觉设计师', 'category': '设计类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:20:29 [tercent.spiders.offer] WARNING: {'intro': 'PCG09-信息流产品垂类高级产品运营经理（ACG品类）', 'category': '产品/项目类', 'nums': '1', 'location': '深圳', 'date': '2019-03-07'}
2019-03-07 17:26:57 [tercent.spiders.offer] WARNING: {'intro': '25666-腾讯云华东区域销售（上海/安徽）（上海）', 'category': '市场类', 'nums': '1', 'location': '上海', 'date': '2019-03-07'}
